B19CHA48,B19CHA49,B19CHA50,B19CHA51,B19CHA52,B19CHA53,B19CHA54,B19CHA55,B19CHA56
B19CHA57,B19CHA58,B19CHA59,B19CHA60,B19CHA61,B19CHA62,B19CHA63,B19CHA64,B19CHA65
B19CHA66,B19CHA67,B19CHA68,B19CHA69,B19CHA70,B19CHA72,B19CHA71,B19CHA73,B19CHA74
B19CHA75,B19CHA76,Roll_No,B19CSA01,B19CSA02,B19CSA03,B19CSA04,B19CSA05,B19CSA06
B19CSA07,B19CSA08,B19CSA09,B19CSA10,B19CSA11,B19CSA12,B19CSA13,B19CSA14,B19CSA15
