B19MEA79,None,B19CEB62,None,B19CEB63,None,B19CEB64,None,B19CEB65
B19CEB66,None,B19CEB67,None,B19CEB68,None,B19CEB69,None,B19CEB70
B19CEB71,None,B19CEB72,None,B19CEB73,None,B19CEB74,None,B19CEB75
B19CEB76,None,B19CEB77,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None
